,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,bedroom_ratio,household_rooms
18602,-122.1,37.19,18.0,6.695798917058491,4.919980925828125,6.042632833682381,4.983606621708336,7.1831,273300.0,False,False,False,False,True,0.734786242354707,1.3435648969346683
12206,-117.05,33.52,5.0,8.15248607578024,6.274762021241939,7.340835554123275,6.220590170099739,4.8083,347700.0,True,False,False,False,False,0.7696746689188804,1.3105647298493426
4662,-118.3,34.05,42.0,7.29776828253138,6.415096959171596,7.381501894506707,6.302618975744905,1.721,214300.0,True,False,False,False,False,0.8790491436303028,1.1578945690063485
11835,-120.96,39.12,24.0,7.635303886259415,6.07993319509559,6.813444599510896,5.926926025970411,2.5326,139100.0,False,True,False,False,False,0.7962922348168894,1.2882401185375505
6443,-118.03,34.1,32.0,7.889459149404524,6.413458957167357,7.321849713788356,6.295266001439646,2.9422,233100.0,False,True,False,False,False,0.8129149078174045,1.2532368207475755
882,-121.96,37.55,4.0,8.228710798793687,6.901737206656574,7.382124365737512,6.732210706467206,4.1387,162500.0,True,False,False,False,False,0.8387385795194499,1.2222895505764382
3773,-118.42,34.17,31.0,7.71244383427499,5.8971538676367405,6.818924065275521,5.916202062607435,6.1359,359700.0,True,False,False,False,False,0.764628436116333,1.3036139997686118
2588,-124.15,40.88,33.0,7.71244383427499,6.2285110035911835,7.061334366910438,6.091309882077698,1.725,57500.0,False,False,False,False,True,0.807592397096101,1.2661388081678642
17918,-121.98,37.35,41.0,7.048386408721883,5.521460917862246,6.593044534142437,5.564520407322694,3.5491,261100.0,True,False,False,False,False,0.7833652410188275,1.266665569138084
14482,-117.26,32.83,24.0,7.416979621381154,5.298317366548036,6.361302477572996,5.236441962829949,10.7721,500001.0,False,False,False,False,True,0.7143497268449296,1.4164158934691542
16090,-122.48,37.72,45.0,7.2485040723706105,5.82600010738045,6.598509028614515,5.8377304471659395,4.1116,187500.0,False,False,False,False,True,0.8037520637654918,1.2416647424838814
18498,-121.51,37.02,19.0,7.771910256435763,5.978885764901122,7.04141166379481,5.902633333401366,4.0238,374600.0,False,True,False,False,False,0.7692942362465041,1.3166852517259844
